group,variable,value
Satisfaction,Satisfaction,0.182254490340096
Satisfaction,Project,0.476799377978315
Satisfaction,Leader,0.325074118705178
Satisfaction,Growth,0.221961576963907
Satisfaction,D&I,0.515068949033029
Satisfaction,Communication,0.199175249618319
Satisfaction,Satisfaction0,0.791310651600031
Project,Satisfaction,0.0130747462065239
Project,Project,0.58805313199949
Project,Leader,0.725159112134286
Project,Growth,0.630458435004977
Project,D&I,0.271849714441527
Project,Communication,0.589009201509516
Project,Satisfaction0,0.883215170295497
Leader,Satisfaction,0.595946385477765
Leader,Project,0.171402168577239
Leader,Leader,0.201642820031222
Leader,Growth,0.237511832860504
Leader,D&I,0.39559193375875
Leader,Communication,0.12055094930561
Leader,Satisfaction0,0.195153492447452
Growth,Satisfaction,0.150163049520318
Growth,Project,0.0509133932801009
Growth,Leader,0.438023671911123
Growth,Growth,0.915411567068819
Growth,D&I,0.711722489852116
Growth,Communication,0.973236952616747
Growth,Satisfaction0,0.230319479609694
D&I,Satisfaction,0.458203842740501
D&I,Project,0.833078325836921
D&I,Leader,0.585080002665613
D&I,Growth,0.696928903948482
D&I,D&I,0.447980782247256
D&I,Communication,0.400733547329864
D&I,Satisfaction0,0.921751570484648
Communication,Satisfaction,0.403043368718625
Communication,Project,0.733372643764161
Communication,Leader,0.851149173906555
Communication,Growth,0.963792418685779
Communication,D&I,0.537427220574618
Communication,Communication,0.412231705301615
Communication,Satisfaction0,0.192739131963937
